,Astrocytes,COPs+NFOLs,Ex_BCL6,Ex_CACNA1H_CPA6,Ex_CACNA1H_KIT,Ex_CACNA1H_LHX9,Ex_CACNA1H_MCTP2,Ex_CACNA1H_PROX1,Ex_DACH2_ADAMTS5,Ex_DACH2_CEMIP,Ex_DACH2_GRIK4,Ex_DACH2_ITGA9,Ex_DACH2_LHX2,Ex_DACH2_LUZP2,Ex_DACH2_MGAT4C,Ex_DACH2_NR4A3,Ex_DACH2_RORB,Ex_DACH2_SLIT2,Ex_DACH2_TAC1,Ex_DACH2_ZMAT4,Ex_KIAA1217,Ex_KIAA1217_BCL6,Ex_Pre_KCNH7,Ex_Pre_SATB2,Ex_SATB2_FOXP2,Ex_SATB2_OVOA,Ex_SATB2_SOX6,Ex_SATB2_ZNF385B,Ex_TCF7L2,Ex_TSHZ2_NR4A2,Inh_CGE_like_CACNA1B,Inh_CGE_like_CACNA2D3,Inh_CGE_like_MAN1A1,Inh_LGE_like_FOXP1_DGKH,Inh_LGE_like_FOXP1_SGCG,Inh_LGE_like_FOXP2,Inh_LGE_like_Pre,Inh_MGE_like_ANO1,Inh_MGE_like_LHX8,Inh_MGE_like_SST_ABI3BP,Inh_MGE_like_SST_PVALB,Inh_MGE_like_SST_SLC24A2,Inh_MGE_like_ST18,Inh_MGE_like_ST18_PVALB,Inh_OB_CPA6,Inh_OB_FGFRL1,Microglia,OPCs,Oligodendrocytes,Vascular
GABA-4-1,0.2857,0.414,0.4373,0.4315,0.3324,0.3032,0.309,0.3207,0.3848,0.3265,0.2974,0.4315,0.4956,0.3557,0.4694,0.3615,0.5073,0.2915,0.3382,0.3732,0.4723,0.3965,0.5889,0.4606,0.379,0.4898,0.4198,0.4257,0.5131,0.3907,0.6735,0.6676,0.519,0.5685,0.4431,0.6093,0.5015,0.6997,0.5306,0.8659,0.9971,0.965,0.8484,0.9534,0.484,0.4781,0.6472,0.4082,0.5918,0.5452
GABA-4-2,0.3294,0.4227,0.4869,0.6152,0.4694,0.4402,0.3878,0.4577,0.3994,0.3644,0.3528,0.3469,0.4169,0.4344,0.3761,0.3411,0.551,0.3353,0.3819,0.3936,0.5277,0.4111,0.4752,0.4636,0.4052,0.3586,0.4519,0.481,0.6968,0.4286,0.5627,0.5743,0.5685,0.5335,0.516,0.5102,0.4985,0.6035,0.7143,0.586,0.9184,0.6676,0.7376,0.9854,0.5219,0.5044,0.6851,0.4461,0.4927,0.3703
GABA-5-1,0.309,0.4315,0.4781,0.4723,0.4606,0.3907,0.3673,0.4548,0.3557,0.3499,0.3032,0.4402,0.4023,0.449,0.3732,0.3207,0.4373,0.3848,0.414,0.481,0.4431,0.379,0.5073,0.5015,0.3382,0.3324,0.656,0.4198,0.6793,0.344,0.9679,0.9534,1.0,0.4665,0.484,0.519,0.5364,0.5539,0.5423,0.5656,0.5481,0.7026,0.7085,0.5306,0.5131,0.4956,0.5656,0.6356,0.5569,0.4781
GABA-5-2,0.3863,0.4446,0.5408,0.4504,0.398,0.5233,0.3397,0.4096,0.4067,0.3338,0.43,0.4125,0.465,0.3805,0.4359,0.3105,0.4155,0.3163,0.363,0.3222,0.4329,0.3688,0.4913,0.4796,0.4184,0.293,0.4767,0.4038,0.6458,0.3455,1.0,0.7449,0.9796,0.4271,0.4621,0.5933,0.6691,0.5321,0.5087,0.6983,0.6808,0.5379,0.6866,0.5029,0.6983,0.4854,0.5962,0.6137,0.6166,0.5262
GABA-6,0.6939,0.4373,0.5015,0.4606,0.4315,0.3907,0.3673,0.4665,0.4023,0.3265,0.5015,0.3324,0.449,0.4898,0.414,0.379,0.484,0.344,0.3965,0.3382,0.4431,0.3615,0.6589,0.5131,0.3732,0.3848,0.4257,0.4723,0.5306,0.3499,0.7347,0.5773,0.5889,0.4956,0.5073,0.5364,0.5481,1.0,0.5598,0.6006,0.6064,0.5714,0.7347,0.5656,0.5539,0.5423,0.6706,0.4548,0.6122,0.4198
GABA-7,0.3426,0.465,0.5058,0.4825,0.4359,0.4067,0.3717,0.43,0.3659,0.3834,0.3367,0.3601,0.3892,0.4009,0.3484,0.3309,0.5117,0.3776,0.4417,0.4242,0.5233,0.4475,0.535,0.5466,0.4184,0.3542,0.4708,0.5,0.6895,0.4125,0.7012,0.5816,0.5933,0.4592,0.4942,0.5408,0.5583,0.5875,0.5641,0.8965,0.7536,0.605,1.0,0.7959,0.5292,0.5175,0.4767,0.4883,0.4534,0.395
GABA-8,0.2828,0.3994,0.656,0.4344,0.6706,0.481,0.4461,0.5394,0.4869,0.6939,0.3936,0.3003,0.3644,0.5219,0.4927,0.2945,0.4636,0.4577,0.3936,0.5277,0.4577,0.4169,0.4869,0.4985,0.3236,0.3353,0.3528,0.4227,0.8455,0.3061,0.5219,0.5452,0.5394,0.4286,0.5685,0.6385,0.5044,0.5277,1.0,0.688,0.5335,0.7114,0.6822,0.5102,0.6181,0.4694,0.5627,0.4402,0.4052,0.3586
GABA-Im,0.1851,0.3192,0.3484,0.3601,0.4242,0.2784,0.3601,0.4184,0.3105,0.3688,0.4621,0.2988,0.3192,0.2843,0.4388,0.328,0.3309,0.4679,0.2726,0.3397,0.3542,0.4038,0.4009,0.4636,0.2493,0.2434,0.3688,0.3251,0.5889,0.2668,0.7172,0.6968,0.7376,0.7376,0.7813,0.7478,0.9271,0.43,0.5904,0.9388,0.9155,0.9621,0.9767,0.8426,0.8076,0.5977,0.7318,0.5117,0.2901,0.4796
Glut-CACNA1H-1,0.2522,0.258,0.7128,0.8003,0.9708,0.9796,0.9096,0.6953,0.4271,0.4913,0.4388,0.8178,0.4096,0.398,0.5262,0.7536,0.4038,0.5904,0.4329,0.5729,0.8178,0.8586,0.3571,0.3688,0.7362,0.6837,0.7653,0.5671,0.5845,0.9767,0.293,0.2988,0.3105,0.3921,0.3863,0.3805,0.328,0.3222,0.363,0.2813,0.3338,0.3163,0.2872,0.3455,0.3513,0.3397,0.3047,0.2755,0.2697,0.2638
Glut-CACNA1H-2,0.2143,0.2201,0.7828,0.8061,0.9883,0.8936,0.9504,0.9184,0.4446,0.43,0.5087,0.7595,0.5321,0.7522,0.4971,0.7303,0.3192,0.707,0.3834,0.4971,0.5729,0.8178,0.4388,0.4854,0.5787,0.777,0.5787,0.4621,0.4796,0.8703,0.2668,0.2493,0.2726,0.4679,0.4329,0.4329,0.4679,0.2901,0.3017,0.2551,0.2843,0.2959,0.2434,0.2609,0.4359,0.3309,0.4971,0.2376,0.2259,0.3542
Glut-CACNA1H-3,0.2376,0.2434,0.5904,0.7799,0.9388,0.9679,0.9067,0.7143,0.4184,0.4825,0.5204,0.8324,0.5204,0.4679,0.5379,0.7624,0.3892,0.5321,0.4125,0.7274,0.6429,0.8615,0.3542,0.516,0.6487,0.7624,0.7799,0.4475,0.4738,0.9708,0.2843,0.2726,0.2901,0.5583,0.4796,0.3776,0.4388,0.3076,0.3426,0.2668,0.3134,0.2959,0.2784,0.3192,0.3367,0.3309,0.3017,0.2609,0.2551,0.2493
Glut-CACNA1H-4,0.2478,0.2653,0.7522,0.4286,0.9592,0.9913,0.9417,0.8163,0.4052,0.4227,0.6093,0.6327,0.656,0.9184,0.621,0.6764,0.3703,0.9271,0.4169,0.3994,0.4111,0.7755,0.4636,0.5452,0.5394,0.5802,0.586,0.4344,0.481,0.7697,0.2945,0.3061,0.2886,0.4927,0.4752,0.3761,0.3353,0.3294,0.3411,0.2828,0.3003,0.3236,0.277,0.312,0.3586,0.3644,0.5656,0.2711,0.2595,0.4023
Glut-CACNA1H-RA,0.2741,0.2915,0.6152,0.8105,0.828,0.8688,0.7522,0.4723,0.5569,0.4956,0.5977,0.6268,0.414,0.3907,0.5685,0.4431,0.4548,0.4373,0.4781,0.4898,0.9767,0.8805,0.5831,0.3732,0.8513,0.6093,0.6501,0.6385,0.5918,0.898,0.3207,0.3382,0.3265,0.5685,0.4023,0.379,0.3149,0.3499,0.3965,0.3032,0.3848,0.344,0.3324,0.4198,0.3673,0.3615,0.309,0.2799,0.2974,0.2857
Glut-DACH2-1,0.2289,0.2522,0.7274,0.3571,0.4708,0.5058,0.6399,0.5641,0.8615,0.5991,0.8382,0.8265,0.879,0.8557,1.0,0.9621,0.4796,0.7915,0.6108,0.7099,0.3746,0.5117,0.4534,0.4359,0.5408,0.8149,0.5816,0.5058,0.3776,0.398,0.2755,0.2697,0.2813,0.605,0.4592,0.363,0.328,0.3163,0.293,0.258,0.2988,0.2872,0.2405,0.3047,0.3455,0.3513,0.5875,0.2347,0.2638,0.4825
Glut-DACH2-2,0.2682,0.2857,0.5714,0.3965,0.4257,0.5423,0.6297,0.5539,0.9359,0.4781,0.828,0.6706,0.9592,0.8513,0.9913,0.9446,0.4082,0.7638,0.4723,0.484,0.414,0.4198,0.4956,0.5073,0.4956,0.9242,0.6006,0.4665,0.3382,0.4431,0.3265,0.3032,0.3207,0.5773,0.4373,0.4023,0.3615,0.3673,0.3499,0.2974,0.344,0.309,0.2915,0.3324,0.3907,0.3848,0.6414,0.2799,0.3149,0.4023
Glut-DACH2-3,0.2289,0.2347,0.8353,0.3513,0.4767,0.3921,0.7478,0.5117,0.6341,0.8586,0.5933,0.9388,0.7595,0.8105,0.7653,0.7711,0.7536,0.9942,0.8061,0.9592,0.4038,0.535,0.4359,0.4825,0.535,0.7303,0.5233,0.4883,0.4417,0.398,0.2755,0.2638,0.2813,0.4942,0.363,0.4825,0.3222,0.3163,0.2988,0.258,0.293,0.2872,0.2697,0.3047,0.328,0.3338,0.5845,0.2464,0.2405,0.3601
Glut-DACH2-4,0.2507,0.2566,0.6735,0.3907,0.5335,0.4082,0.5889,0.4023,0.7726,0.7959,0.586,0.9942,0.5627,0.4257,0.8192,0.8601,0.5569,0.9096,0.6793,0.8484,0.7259,0.8484,0.3673,0.3732,0.8134,0.863,0.8076,0.4431,0.3324,0.5131,0.2857,0.2799,0.3032,0.3965,0.3848,0.379,0.3207,0.3382,0.3265,0.2915,0.3149,0.309,0.2974,0.344,0.3557,0.3615,0.5044,0.2624,0.2682,0.2741
Glut-DACH2-5,0.2828,0.3003,0.4694,0.4111,0.4344,0.4461,0.7755,0.4752,0.9883,0.4985,0.8397,0.6676,0.9038,0.7755,0.9096,0.8746,0.4577,0.5219,0.5102,0.6327,0.4227,0.4286,0.5102,0.5335,0.5918,0.8513,0.6035,0.481,0.3819,0.4519,0.3411,0.3353,0.3469,0.4636,0.4402,0.4169,0.3528,0.3586,0.3878,0.312,0.3644,0.3294,0.3061,0.3703,0.4052,0.3994,0.6035,0.2945,0.3178,0.4227
Glut-DACH2-6,0.2711,0.2945,0.5831,0.4169,0.4402,0.4461,0.6706,0.4227,0.8338,1.0,0.6006,0.8805,0.5481,0.4286,0.6764,0.8105,0.4344,0.6822,0.8571,0.9096,0.723,0.7755,0.3586,0.3761,0.7464,0.6356,0.6181,0.4636,0.4052,0.4752,0.3178,0.3411,0.3294,0.4111,0.3994,0.3819,0.3061,0.3878,0.3936,0.312,0.3644,0.3528,0.3236,0.3703,0.3353,0.3469,0.5656,0.2886,0.2828,0.4052
Glut-DACH2-7,0.2609,0.2726,0.6749,0.3892,0.4242,0.43,0.6195,0.4417,0.9082,0.7682,0.9213,0.879,0.7857,0.5787,0.9198,0.8615,0.395,0.6195,0.7741,0.7974,0.4067,0.4184,0.4504,0.4854,0.6983,0.9417,0.7566,0.5496,0.3601,0.4359,0.3134,0.3251,0.3192,0.4125,0.4009,0.3834,0.3017,0.3426,0.3542,0.2959,0.3309,0.3076,0.2901,0.3367,0.3659,0.3717,0.5233,0.2784,0.2668,0.2551
Glut-DACH2-8,0.2741,0.2915,0.5831,0.4198,0.4315,0.4431,0.828,0.4257,0.6997,0.9679,0.7405,0.9417,0.4665,0.4373,0.6297,0.6531,0.7959,0.6764,0.9504,1.0,0.5714,0.6239,0.3615,0.3848,0.6356,0.6356,0.6181,0.4606,0.4082,0.4781,0.3207,0.3265,0.3382,0.414,0.4023,0.3907,0.309,0.3732,0.379,0.3032,0.3673,0.344,0.3324,0.3965,0.3499,0.3557,0.4665,0.4198,0.2974,0.2799
Glut-DACH2-HVCra,0.2362,0.2478,0.5044,0.5248,0.4169,0.484,0.4344,0.4111,0.8047,0.4577,0.7872,0.6327,0.621,0.7289,0.9038,0.8047,0.3936,0.4461,0.7872,0.7055,0.6297,0.6589,0.5364,0.3586,0.6501,0.8571,0.9767,0.8163,0.4723,0.4286,0.3061,0.2886,0.3003,0.6297,0.688,0.3644,0.3878,0.3528,0.3353,0.2711,0.3236,0.2828,0.2653,0.3411,0.3178,0.312,0.6297,0.2536,0.2595,0.3732
Glut-DACH2-HVCra-Int,0.2522,0.2638,0.6399,0.3863,0.4155,0.4271,0.4738,0.5408,0.879,0.4679,0.8207,0.844,0.809,0.8265,0.9257,0.9446,0.3921,0.7507,0.6924,0.5612,0.5,0.5175,0.3513,0.363,0.7332,0.9009,0.8499,0.7391,0.3571,0.4446,0.3163,0.3047,0.3105,0.5466,0.5583,0.3805,0.3222,0.3397,0.3455,0.2872,0.328,0.293,0.2813,0.3338,0.3746,0.3688,0.4359,0.2697,0.2755,0.258
Glut-DACH2-HVCx,0.2813,0.293,0.5875,0.4388,0.4621,0.4446,0.6108,0.4329,0.6458,0.5437,0.5816,0.9446,0.4679,0.4271,0.809,0.5933,0.4504,0.6312,0.8324,0.6866,0.8732,0.9767,0.3863,0.4038,0.8615,0.6633,0.9082,0.7274,0.398,0.6166,0.3222,0.328,0.3338,0.4213,0.4155,0.4096,0.3397,0.3805,0.3746,0.3105,0.3688,0.3455,0.3163,0.3921,0.3571,0.363,0.3513,0.2872,0.3047,0.2988
Glut-DACH2-LMANco,0.3003,0.3178,0.6064,0.4461,0.4519,0.4694,0.516,0.4402,0.688,0.8805,0.6064,0.7289,0.4752,0.5743,0.5102,0.4927,0.9767,0.5452,0.6939,0.9155,0.5335,0.4985,0.3703,0.3819,0.5569,0.6268,0.6997,0.5219,0.7638,0.5277,0.3644,0.3586,0.3761,0.4286,0.4052,0.3936,0.3294,0.4111,0.4227,0.3411,0.4169,0.3994,0.3878,0.4636,0.3469,0.3528,0.4694,0.312,0.4519,0.4519
Glut-DACH2-LMANsh,0.2668,0.2843,0.4592,0.4009,0.4184,0.43,0.6108,0.4475,0.9257,0.7741,0.8265,0.8746,0.844,0.4708,0.8382,0.8848,0.6166,0.5,0.7507,0.9067,0.4242,0.4125,0.4534,0.3776,0.7216,0.8907,0.7332,0.57,0.3892,0.4417,0.3251,0.3192,0.3367,0.4359,0.4067,0.395,0.3309,0.3426,0.3717,0.2901,0.3542,0.3076,0.3017,0.3601,0.3834,0.3659,0.5816,0.2784,0.2959,0.2726
Glut-GABA,0.1589,0.1706,0.5991,0.2813,0.4359,0.5117,0.5058,0.4767,0.8907,0.5583,0.8324,0.7099,0.6866,0.605,0.914,0.7915,0.2988,0.7566,0.6166,0.7099,0.398,0.3542,0.5816,0.3367,0.6516,0.7041,0.7332,0.7566,0.3776,0.3105,0.4009,0.2114,0.2172,0.9067,0.8805,0.7915,0.4708,0.2347,0.6633,0.2434,0.3834,0.3688,0.188,0.2405,0.5991,0.4184,0.4417,0.1764,0.1822,0.2668
Glut-Im,0.2507,0.2799,0.7143,0.3732,0.414,0.5685,0.6327,0.5452,0.8076,0.7493,1.0,0.6676,0.8076,0.7959,0.7026,0.9563,0.4636,0.7668,0.5685,0.6793,0.3965,0.4023,0.7376,0.7085,0.7551,0.7843,0.5569,0.4431,0.344,0.4198,0.2857,0.3032,0.309,0.4315,0.4082,0.3673,0.3499,0.3324,0.3382,0.2915,0.3149,0.3207,0.2624,0.2974,0.3557,0.3615,0.4402,0.2682,0.2741,0.3965
Glut-NB,0.2507,0.3557,0.6764,0.4606,0.5073,0.8163,0.4956,0.6181,0.6297,0.414,0.9563,0.5131,0.5481,0.7755,0.723,0.5889,0.5335,0.6356,0.5714,0.3324,0.4431,0.344,1.0,0.9738,0.7289,0.5306,0.4985,0.4665,0.2974,0.3615,0.3673,0.4257,0.3965,0.3499,0.6531,0.309,0.7114,0.2799,0.3265,0.4023,0.2682,0.3032,0.2741,0.2624,0.4198,0.449,0.6181,0.3761,0.2857,0.4752
Glut-NSC,0.9198,0.535,0.3776,0.4417,0.4009,0.395,0.3601,0.5787,0.3076,0.2959,0.4621,0.398,0.4913,0.5671,0.4621,0.3017,0.4067,0.3251,0.3134,0.2901,0.3834,0.3659,0.9504,0.6603,0.4738,0.3192,0.4504,0.3892,0.4592,0.3484,0.6603,0.4942,0.5058,0.4125,0.4534,0.4767,0.8557,0.4708,0.4825,0.6137,0.43,0.4475,0.465,0.4359,0.6603,0.5117,0.8499,0.6953,0.6953,0.9534
Glut-SATB2-1,0.2813,0.3047,0.5845,0.4271,0.4679,0.4388,0.5262,0.4504,0.6778,0.5029,0.8207,0.6429,0.602,0.4621,0.7128,0.6137,0.4213,0.5146,0.6254,0.4913,0.4738,0.6137,0.4913,0.5787,0.9825,0.8673,0.914,0.9563,0.3863,0.4563,0.4563,0.3455,0.3397,0.4329,0.4155,0.5029,0.328,0.3688,0.363,0.3222,0.3571,0.3513,0.3163,0.3746,0.398,0.3921,0.5991,0.2988,0.293,0.4563
Micro,0.758,0.586,0.4286,0.4636,0.4052,0.3936,0.3353,0.4111,0.3994,0.3469,0.3411,0.3294,0.4169,0.4519,0.5131,0.4344,0.6531,0.3236,0.3644,0.3819,0.4402,0.3528,0.5685,0.551,0.4227,0.3878,0.5598,0.4461,0.5306,0.3703,0.5335,0.516,0.5452,0.4694,0.4927,0.5394,0.5743,0.4985,0.5044,0.5219,0.4752,0.481,0.5102,0.4869,0.5627,0.5569,1.0,0.723,0.7464,0.895
OPC,0.879,0.9621,0.4096,0.4971,0.4446,0.4329,0.3921,0.4621,0.363,0.328,0.3455,0.3222,0.4213,0.4504,0.3746,0.3571,0.4563,0.3513,0.5146,0.3338,0.4155,0.398,0.5671,0.5612,0.3688,0.3397,0.4038,0.4271,0.5029,0.3863,0.5437,0.5554,0.5496,0.4388,0.4679,0.5087,0.5787,0.4913,0.5204,0.5262,0.4738,0.4854,0.5146,0.4796,0.5321,0.5379,0.7274,1.0,0.8848,0.7157
Oligo-1,0.5802,0.7697,0.3586,0.4402,0.3994,0.3644,0.3411,0.4169,0.4286,0.3353,0.5015,0.3294,0.4519,0.4577,0.5364,0.4344,0.5452,0.3236,0.5131,0.3528,0.4052,0.3469,0.5685,0.5627,0.3878,0.3936,0.4227,0.4461,0.4636,0.3819,0.5394,0.5219,0.5335,0.4752,0.5044,0.6297,0.7172,0.4927,0.4869,0.5277,0.4985,0.4694,0.481,0.516,0.5569,0.551,0.7464,0.7464,1.0,0.7464
Oligo-2,0.7041,0.8163,0.4082,0.4155,0.3688,0.3222,0.3105,0.3513,0.5117,0.3163,0.328,0.3047,0.398,0.5583,0.4825,0.4096,0.5087,0.2988,0.5,0.3338,0.4213,0.3455,0.6924,0.5379,0.3921,0.3805,0.4038,0.4329,0.4388,0.3746,0.5204,0.4971,0.5146,0.5875,0.4563,0.6166,0.6866,0.4738,0.4621,0.6399,0.4679,0.4504,0.4796,0.4854,0.6093,0.6006,0.8586,0.7216,0.9227,0.8819
Oligo-3,0.9825,0.5918,0.4315,0.4519,0.4169,0.3761,0.3353,0.4286,0.3994,0.3294,0.3469,0.3178,0.4227,0.4461,0.3878,0.4111,0.5219,0.3236,0.3936,0.3644,0.4402,0.3411,0.6968,0.5452,0.3819,0.3528,0.4052,0.4344,0.5481,0.3703,0.5394,0.5277,0.5335,0.4577,0.4752,0.4927,0.5685,0.5102,0.516,0.4869,0.481,0.4636,0.4985,0.5044,0.621,0.6181,0.9475,0.7085,0.9125,0.9417
